atp,events_id,series,location,dated,tournament,location_id
1,1,ATP250,Adelaide,03/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,03/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,03/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,03/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,04/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,05/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,05/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,05/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,05/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,06/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,06/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,06/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,06/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,07/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,07/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,07/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,07/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,08/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,08/01/2022,Adelaide International 1,3
1,1,ATP250,Adelaide,09/01/2022,Adelaide International 1,3
1,1,ATP250,Antalya,07/01/2021,Antalya Open,5
1,1,ATP250,Antalya,07/01/2021,Antalya Open,5
1,1,ATP250,Antalya,07/01/2021,Antalya Open,5
1,1,ATP250,Antalya,07/01/2021,Antalya Open,5
1,1,ATP250,Antalya,07/01/2021,Antalya Open,5
1,1,ATP250,Antalya,07/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,08/01/2021,Antalya Open,5
1,1,ATP250,Antalya,09/01/2021,Antalya Open,5
1,1,ATP250,Antalya,09/01/2021,Antalya Open,5
1,1,ATP250,Antalya,09/01/2021,Antalya Open,5
1,1,ATP250,Antalya,09/01/2021,Antalya Open,5
1,1,ATP250,Antalya,10/01/2021,Antalya Open,5
1,1,ATP250,Antalya,10/01/2021,Antalya Open,5
1,1,ATP250,Antalya,10/01/2021,Antalya Open,5
1,1,ATP250,Antalya,10/01/2021,Antalya Open,5
1,1,ATP250,Antalya,11/01/2021,Antalya Open,5
1,1,ATP250,Antalya,11/01/2021,Antalya Open,5
1,1,ATP250,Antalya,11/01/2021,Antalya Open,5
1,1,ATP250,Antalya,11/01/2021,Antalya Open,5
1,1,ATP250,Antalya,12/01/2021,Antalya Open,5
1,1,ATP250,Antalya,12/01/2021,Antalya Open,5
1,1,ATP250,Antalya,13/01/2021,Antalya Open,5
1,1,ATP250,Doha,06/01/2020,Qatar Exxon Mobil Open,30
1,1,ATP250,Doha,06/01/2020,Qatar Exxon Mobil Open,30
1,1,ATP250,Doha,06/01/2020,Qatar Exxon Mobil Open,30
1,1,ATP250,Doha,06/01/2020,Qatar Exxon Mobil Open,30
