loser,loser_id,pltwo_flag,pltwo_year,pltwo_height,pltwo_weight,pltwo_hand
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Agostinelli B.,2,,,,,
Aguilar J.,3,,,,,
Aguilar J.,3,,,,,
Aguilar J.,3,,,,,
Aguilar J.,3,,,,,
Ahouda A.,4,MAR,2013.0,185.0,76.0,Right-Handed
Ahouda A.,4,MAR,2013.0,185.0,76.0,Right-Handed
Ahouda A.,4,MAR,2013.0,185.0,76.0,Right-Handed
Ajdukovic D.,5,CRO,2018.0,185.0,77.0,Right-Handed
Al Ghareeb M.,6,,,,,
Al Ghareeb M.,6,,,,,
Al Mutawa J.,7,,,,,
Al Mutawa J.,7,,,,,
Al-Ghareeb M.,8,,,,,
Alawadhi O.,9,,,,,
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,10,MDA,2008.0,175.0,69.0,Right-Handed
