loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Nishioka Y.,3,1.0,2.0,,,,661
Altmaier D.,3,2.0,6.0,6.0,,,17
Carballes Baena R.,3,5.0,6.0,,,,135
Vukic A.,3,4.0,6.0,4.0,,,953
Rune H.,3,6.0,4.0,,,,770
Musetti L.,3,4.0,7.0,3.0,,,634
Fucsovics M.,3,3.0,4.0,,,,287
Bonzi B.,3,5.0,5.0,,,,104
Bolt A.,3,2.0,4.0,,,,103
Vesely J.,3,4.0,6.0,4.0,,,942
Cerundolo F.,3,4.0,6.0,4.0,,,145
Millman J.,3,4.0,3.0,,,,597
Moutet C.,3,6.0,5.0,,,,623
Monteiro T.,3,4.0,6.0,,,,616
Kwon S.W.,3,3.0,2.0,,,,495
Tiafoe F.,3,6.0,5.0,1.0,,,887
Daniel T.,3,4.0,7.0,4.0,,,182
Mager G.,3,1.0,6.0,3.0,,,548
Johnson S.,3,4.0,6.0,2.0,,,415
Cerundolo J.M.,3,2.0,1.0,,,,146
Djere L.,3,3.0,2.0,,,,219
Paul T.,3,4.0,1.0,,,,690
Gerasimov E.,3,5.0,3.0,,,,305
Ymer M.,3,6.0,6.0,4.0,,,980
Cilic M.,3,6.0,3.0,,,,158
Kokkinakis T.,3,5.0,0.0,,,,462
Khachanov K.,3,4.0,4.0,,,,436
Murray A.,3,3.0,7.0,3.0,,,633
Mannarino A.,3,4.0,3.0,,,,553
Gojowczyk P.,3,0.0,3.0,,,,319
Koepfer D.,3,3.0,4.0,,,,459
Giron M.,3,5.0,4.0,,,,315
O Connell C.,3,6.0,5.0,4.0,,,666
Baez S.,3,6.0,1.0,,,,46
Paire B.,3,6.0,3.0,2.0,,,685
Seppi A.,3,4.0,7.0,3.0,,,809
Travaglia S.,3,6.0,3.0,,,,896
Hijikata R.,3,3.0,0.0,,,,380
Anderson K.,3,4.0,4.0,,,,23
Thompson J.,3,6.0,7.0,3.0,,,886
Goffin D.,3,5.0,3.0,,,,317
Bagnis F.,3,7.0,6.0,3.0,,,48
Berankis R.,3,2.0,5.0,,,,82
Laaksonen H.,3,1.0,5.0,,,,498
Popyrin A.,3,3.0,6.0,3.0,,,710
Opelka R.,3,6.0,6.0,6.0,,,678
Mcdonald M.,3,2.0,5.0,,,,575
Molcan A.,3,2.0,1.0,,,,608
Griekspoor T.,3,,,,,,343
Munar J.,3,6.0,4.0,,,,628
Van De Zandschulp B.,3,7.0,0.0,5.0,,,920
Dimitrov G.,3,5.0,6.0,,,,218
Ruusuvuori E.,3,4.0,5.0,,,,773
Cressy M.,3,6.0,3.0,,,,174
Bublik A.,3,6.0,2.0,,,,125
Tiafoe F.,3,2.0,3.0,,,,887
Mcdonald M.,3,3.0,7.0,3.0,,,575
Millman J.,3,2.0,2.0,,,,597
Struff J.L.,3,2.0,4.0,,,,868
Harris L.,3,7.0,5.0,4.0,,,367
Bolt A.,3,4.0,4.0,,,,103
Carballes Baena R.,3,3.0,3.0,,,,135
Van De Zandschulp B.,3,3.0,6.0,,,,920
Gerasimov E.,3,6.0,5.0,4.0,,,305
Paire B.,3,4.0,0.0,,,,685
