winner,loser,round,comment,best_of,tournament,winner_id,loser_id,tournament_id
Kwon S.W.,Nishioka Y.,1st Round,Completed,3,Adelaide International 1,335,661,11
Monteiro T.,Altmaier D.,1st Round,Completed,3,Adelaide International 1,414,17,11
Djere L.,Carballes Baena R.,1st Round,Completed,3,Adelaide International 1,146,135,11
Johnson S.,Vukic A.,1st Round,Completed,3,Adelaide International 1,277,953,11
Moutet C.,Rune H.,1st Round,Completed,3,Adelaide International 1,418,770,11
Daniel T.,Musetti L.,1st Round,Completed,3,Adelaide International 1,115,634,11
Gerasimov E.,Fucsovics M.,1st Round,Completed,3,Adelaide International 1,203,287,11
Ymer M.,Bonzi B.,1st Round,Completed,3,Adelaide International 1,646,104,11
Cerundolo J.M.,Bolt A.,1st Round,Completed,3,Adelaide International 1,90,103,11
Paul T.,Vesely J.,1st Round,Completed,3,Adelaide International 1,458,942,11
Mager G.,Cerundolo F.,1st Round,Completed,3,Adelaide International 1,368,145,11
Kokkinakis T.,Millman J.,1st Round,Completed,3,Adelaide International 1,308,597,11
Djere L.,Moutet C.,2nd Round,Retired,3,Adelaide International 1,146,623,11
Cilic M.,Monteiro T.,2nd Round,Completed,3,Adelaide International 1,97,616,11
Ymer M.,Kwon S.W.,2nd Round,Completed,3,Adelaide International 1,646,495,11
Kokkinakis T.,Tiafoe F.,2nd Round,Completed,3,Adelaide International 1,308,887,11
Paul T.,Daniel T.,2nd Round,Completed,3,Adelaide International 1,458,182,11
Gerasimov E.,Mager G.,2nd Round,Completed,3,Adelaide International 1,203,548,11
Khachanov K.,Johnson S.,2nd Round,Completed,3,Adelaide International 1,291,415,11
Monfils G.,Cerundolo J.M.,2nd Round,Completed,3,Adelaide International 1,411,146,11
Cilic M.,Djere L.,Quarterfinals,Completed,3,Adelaide International 1,97,219,11
Monfils G.,Paul T.,Quarterfinals,Completed,3,Adelaide International 1,411,690,11
Khachanov K.,Gerasimov E.,Quarterfinals,Completed,3,Adelaide International 1,291,305,11
Kokkinakis T.,Ymer M.,Quarterfinals,Completed,3,Adelaide International 1,308,980,11
Khachanov K.,Cilic M.,Semifinals,Completed,3,Adelaide International 1,291,158,11
Monfils G.,Kokkinakis T.,Semifinals,Completed,3,Adelaide International 1,411,462,11
Monfils G.,Khachanov K.,The Final,Completed,3,Adelaide International 1,411,436,11
Bagnis F.,Murray A.,1st Round,Completed,3,Melbourne Summer Set,26,633,96
Van De Zandschulp B.,Mannarino A.,1st Round,Completed,3,Melbourne Summer Set,605,553,96
Mcdonald M.,Gojowczyk P.,1st Round,Completed,3,Melbourne Summer Set,389,319,96
Griekspoor T.,Koepfer D.,1st Round,Completed,3,Melbourne Summer Set,229,459,96
Berankis R.,Giron M.,1st Round,Completed,3,Melbourne Summer Set,48,315,96
Thompson J.,O Connell C.,1st Round,Completed,3,Melbourne Summer Set,587,666,96
Ruusuvuori E.,Baez S.,1st Round,Completed,3,Melbourne Summer Set,517,46,96
Laaksonen H.,Paire B.,1st Round,Retired,3,Melbourne Summer Set,337,685,96
Molcan A.,Seppi A.,1st Round,Completed,3,Melbourne Summer Set,408,809,96
Popyrin A.,Travaglia S.,1st Round,Completed,3,Melbourne Summer Set,471,896,96
Cressy M.,Hijikata R.,1st Round,Completed,3,Melbourne Summer Set,108,380,96
Munar J.,Anderson K.,1st Round,Completed,3,Melbourne Summer Set,422,23,96
Ruusuvuori E.,Thompson J.,2nd Round,Completed,3,Melbourne Summer Set,517,886,96
Molcan A.,Goffin D.,2nd Round,Completed,3,Melbourne Summer Set,408,317,96
Dimitrov G.,Bagnis F.,2nd Round,Completed,3,Melbourne Summer Set,145,48,96
Nadal R.,Berankis R.,2nd Round,Completed,3,Melbourne Summer Set,427,82,96
Munar J.,Laaksonen H.,2nd Round,Completed,3,Melbourne Summer Set,422,498,96
Griekspoor T.,Popyrin A.,2nd Round,Completed,3,Melbourne Summer Set,229,710,96
Cressy M.,Opelka R.,2nd Round,Completed,3,Melbourne Summer Set,108,678,96
Van De Zandschulp B.,Mcdonald M.,2nd Round,Completed,3,Melbourne Summer Set,605,575,96
Ruusuvuori E.,Molcan A.,Quarterfinals,Completed,3,Melbourne Summer Set,517,608,96
Nadal R.,Griekspoor T.,Quarterfinals,Walkover,3,Melbourne Summer Set,427,343,96
Cressy M.,Munar J.,Quarterfinals,Completed,3,Melbourne Summer Set,108,628,96
Dimitrov G.,Van De Zandschulp B.,Quarterfinals,Completed,3,Melbourne Summer Set,145,920,96
Cressy M.,Dimitrov G.,Semifinals,Completed,3,Melbourne Summer Set,108,218,96
Nadal R.,Ruusuvuori E.,Semifinals,Completed,3,Melbourne Summer Set,427,773,96
Nadal R.,Cressy M.,The Final,Completed,3,Melbourne Summer Set,427,174,96
Vukic A.,Bublik A.,1st Round,Completed,3,Adelaide International 2,626,125,12
Paul T.,Tiafoe F.,1st Round,Completed,3,Adelaide International 2,458,887,12
Rinderknech A.,Mcdonald M.,1st Round,Completed,3,Adelaide International 2,497,575,12
Munar J.,Millman J.,1st Round,Completed,3,Adelaide International 2,422,597,12
Moutet C.,Struff J.L.,1st Round,Completed,3,Adelaide International 2,418,868,12
