winner,w_rank,w_pts,loser,l_rank,l_pts,winner_id,loser_id
Kwon S.W.,53.0,1115.0,Nishioka Y.,81.0,823.0,335,661
Monteiro T.,89.0,805.0,Altmaier D.,84.0,813.0,414,17
Djere L.,52.0,1131.0,Carballes Baena R.,79.0,837.0,146,135
Johnson S.,85.0,812.0,Vukic A.,156.0,440.0,277,953
Moutet C.,92.0,797.0,Rune H.,103.0,740.0,418,770
Daniel T.,125.0,584.0,Musetti L.,59.0,1004.0,115,634
Gerasimov E.,113.0,665.0,Fucsovics M.,40.0,1459.0,203,287
Ymer M.,94.0,782.0,Bonzi B.,64.0,969.0,646,104
Cerundolo J.M.,90.0,803.0,Bolt A.,137.0,506.0,90,103
Paul T.,43.0,1349.0,Vesely J.,83.0,822.0,458,942
Mager G.,62.0,978.0,Cerundolo F.,127.0,582.0,368,145
Kokkinakis T.,171.0,394.0,Millman J.,72.0,875.0,308,597
Djere L.,52.0,1131.0,Moutet C.,92.0,797.0,146,623
Cilic M.,30.0,1710.0,Monteiro T.,89.0,805.0,97,616
Ymer M.,94.0,782.0,Kwon S.W.,53.0,1115.0,646,495
Kokkinakis T.,171.0,394.0,Tiafoe F.,38.0,1492.0,308,887
Paul T.,43.0,1349.0,Daniel T.,125.0,584.0,458,182
Gerasimov E.,113.0,665.0,Mager G.,62.0,978.0,203,548
Khachanov K.,29.0,1731.0,Johnson S.,85.0,812.0,291,415
Monfils G.,21.0,2158.0,Cerundolo J.M.,90.0,803.0,411,146
Cilic M.,30.0,1710.0,Djere L.,52.0,1131.0,97,219
Monfils G.,21.0,2158.0,Paul T.,43.0,1349.0,411,690
Khachanov K.,29.0,1731.0,Gerasimov E.,113.0,665.0,291,305
Kokkinakis T.,171.0,394.0,Ymer M.,94.0,782.0,308,980
Khachanov K.,29.0,1731.0,Cilic M.,30.0,1710.0,291,158
Monfils G.,21.0,2158.0,Kokkinakis T.,171.0,394.0,411,462
Monfils G.,21.0,2158.0,Khachanov K.,29.0,1731.0,411,436
Bagnis F.,76.0,860.0,Murray A.,134.0,521.0,26,633
Van De Zandschulp B.,57.0,1034.0,Mannarino A.,71.0,879.0,605,553
Mcdonald M.,55.0,1084.0,Gojowczyk P.,86.0,808.0,389,319
Griekspoor T.,65.0,966.0,Koepfer D.,54.0,1101.0,229,459
Berankis R.,104.0,739.0,Giron M.,66.0,929.0,48,315
Thompson J.,75.0,860.0,O Connell C.,175.0,388.0,587,666
Ruusuvuori E.,95.0,778.0,Baez S.,99.0,762.0,517,46
Laaksonen H.,98.0,765.0,Paire B.,46.0,1245.0,337,685
Molcan A.,88.0,806.0,Seppi A.,102.0,744.0,408,809
Popyrin A.,61.0,1000.0,Travaglia S.,78.0,846.0,471,896
Cressy M.,112.0,683.0,Hijikata R.,375.0,113.0,108,380
Munar J.,77.0,848.0,Anderson K.,80.0,829.0,422,23
Ruusuvuori E.,95.0,778.0,Thompson J.,75.0,860.0,517,886
Molcan A.,88.0,806.0,Goffin D.,39.0,1476.0,408,317
Dimitrov G.,28.0,1801.0,Bagnis F.,76.0,860.0,145,48
Nadal R.,6.0,4875.0,Berankis R.,104.0,739.0,427,82
Munar J.,77.0,848.0,Laaksonen H.,98.0,765.0,422,498
Griekspoor T.,65.0,966.0,Popyrin A.,61.0,1000.0,229,710
Cressy M.,112.0,683.0,Opelka R.,26.0,1936.0,108,678
Van De Zandschulp B.,57.0,1034.0,Mcdonald M.,55.0,1084.0,605,575
Ruusuvuori E.,95.0,778.0,Molcan A.,88.0,806.0,517,608
Nadal R.,6.0,4875.0,Griekspoor T.,65.0,966.0,427,343
Cressy M.,112.0,683.0,Munar J.,77.0,848.0,108,628
Dimitrov G.,28.0,1801.0,Van De Zandschulp B.,57.0,1034.0,145,920
Cressy M.,112.0,683.0,Dimitrov G.,28.0,1801.0,108,218
Nadal R.,6.0,4875.0,Ruusuvuori E.,95.0,778.0,427,773
Nadal R.,6.0,4875.0,Cressy M.,112.0,683.0,427,174
Vukic A.,160.0,440.0,Bublik A.,35.0,1538.0,626,125
Paul T.,41.0,1374.0,Tiafoe F.,37.0,1492.0,458,887
Rinderknech A.,58.0,1057.0,Mcdonald M.,55.0,1094.0,497,575
Munar J.,72.0,868.0,Millman J.,80.0,820.0,422,597
Moutet C.,115.0,643.0,Struff J.L.,50.0,1171.0,418,868
Kwon S.W.,53.0,1110.0,Harris L.,32.0,1629.0,335,367
Johnson S.,84.0,807.0,Bolt A.,142.0,496.0,277,103
Bonzi B.,65.0,969.0,Carballes Baena R.,76.0,837.0,63,135
Fucsovics M.,38.0,1447.0,Van De Zandschulp B.,56.0,1069.0,191,920
Mager G.,63.0,982.0,Gerasimov E.,106.0,712.0,368,305
Kokkinakis T.,145.0,480.0,Paire B.,47.0,1205.0,308,685
Monteiro T.,83.0,809.0,Nishioka Y.,99.0,748.0,414,661
Rinderknech A.,58.0,1057.0,Kwon S.W.,53.0,1110.0,497,495
Cilic M.,29.0,1760.0,Munar J.,72.0,868.0,97,628
Paul T.,41.0,1374.0,Bonzi B.,65.0,969.0,458,104
Khachanov K.,30.0,1726.0,Mager G.,63.0,982.0,291,548
Vukic A.,160.0,440.0,Johnson S.,84.0,807.0,626,415
Kokkinakis T.,145.0,480.0,Isner J.,24.0,2016.0,308,399
Monteiro T.,83.0,809.0,Monfils G.,19.0,2373.0,414,612
Moutet C.,115.0,643.0,Fucsovics M.,38.0,1447.0,418,287
Rinderknech A.,58.0,1057.0,Khachanov K.,30.0,1726.0,497,436
Cilic M.,29.0,1760.0,Paul T.,41.0,1374.0,97,690
Moutet C.,115.0,643.0,Monteiro T.,83.0,809.0,418,616
Kokkinakis T.,145.0,480.0,Vukic A.,160.0,440.0,308,953
Rinderknech A.,58.0,1057.0,Moutet C.,115.0,643.0,497,623
Kokkinakis T.,145.0,480.0,Cilic M.,29.0,1760.0,308,158
Kokkinakis T.,145.0,480.0,Rinderknech A.,58.0,1057.0,308,748
Goffin D.,45.0,1261.0,Bagnis F.,71.0,868.0,213,48
Sonego L.,27.0,1825.0,Gaston H.,67.0,919.0,561,302
Thompson J.,73.0,860.0,Giron M.,66.0,929.0,587,315
Fognini F.,36.0,1494.0,Altmaier D.,91.0,792.0,187,17
Baez S.,9.0,3849.0,O Connell C.,173.0,386.0,24,666
Nakashima B.,68.0,917.0,Vesely J.,79.0,822.0,429,942
Kudla D.,109.0,698.0,Delbonis F.,42.0,1347.0,325,204
Kecmanovic M.,78.0,836.0,Travaglia S.,86.0,807.0,289,896
Martinez P.,61.0,1001.0,Popyrin A.,59.0,1010.0,381,710
Lajovic D.,43.0,1346.0,Davidovich Fokina A.,51.0,1160.0,339,185
Cressy M.,75.0,838.0,Mannarino A.,70.0,879.0,108,553
Murray A.,135.0,521.0,Durasovic V.,345.0,137.0,425,236
Sonego L.,27.0,1825.0,Baez S.,9.0,3849.0,561,46
Nakashima B.,68.0,917.0,Fognini F.,36.0,1494.0,429,282
Evans D.,26.0,1912.0,Martinez P.,61.0,1001.0,176,565
Karatsev A.,20.0,2351.0,Kecmanovic M.,78.0,836.0,286,433
Opelka R.,25.0,1936.0,Thompson J.,73.0,860.0,450,886
Goffin D.,45.0,1261.0,Kudla D.,109.0,698.0,213,482
Murray A.,135.0,521.0,Basilashvili N.,23.0,2086.0,425,64
Cressy M.,75.0,838.0,Lajovic D.,43.0,1346.0,108,501
Karatsev A.,20.0,2351.0,Sonego L.,27.0,1825.0,286,850
Opelka R.,25.0,1936.0,Nakashima B.,68.0,917.0,450,640
Murray A.,135.0,521.0,Goffin D.,45.0,1261.0,425,317
Evans D.,26.0,1912.0,Cressy M.,75.0,838.0,176,174
Murray A.,135.0,521.0,Opelka R.,25.0,1936.0,425,678
Karatsev A.,20.0,2351.0,Evans D.,26.0,1912.0,286,265
Karatsev A.,20.0,2351.0,Murray A.,135.0,521.0,286,633
Shapovalov D.,14.0,2593.0,Djere L.,51.0,1156.0,543,219
Kwon S.W.,54.0,1085.0,Rune H.,99.0,742.0,335,770
Lajovic D.,39.0,1346.0,Fucsovics M.,35.0,1457.0,339,287
Vukic A.,144.0,477.0,Harris L.,33.0,1473.0,626,367
Garin C.,19.0,2375.0,Bagnis F.,72.0,868.0,199,48
Martinez P.,61.0,1001.0,Delbonis F.,38.0,1347.0,381,204
Bonzi B.,63.0,979.0,Gojowczyk P.,82.0,802.0,63,319
Albot R.,124.0,587.0,Nishioka Y.,119.0,610.0,4,661
Alcaraz C.,31.0,1609.0,Tabilo A.,135.0,518.0,5,877
Kozlov S.,169.0,401.0,Vesely J.,78.0,824.0,316,942
Monfils G.,20.0,2373.0,Coria F.,64.0,976.0,411,168
Berrettini M.,7.0,4568.0,Nakashima B.,68.0,917.0,53,640
Khachanov K.,30.0,1748.0,Kudla D.,105.0,714.0,291,482
Mannarino A.,69.0,879.0,Duckworth J.,49.0,1166.0,373,234
Carreno Busta P.,21.0,2305.0,Etcheverry T.,131.0,556.0,83,262
Bublik A.,37.0,1411.0,Escobedo E.,141.0,497.0,76,259
Nadal R.,5.0,4875.0,Giron M.,66.0,920.0,427,315
Korda S.,43.0,1286.0,Norrie C.,12.0,2900.0,311,663
Hurkacz H.,11.0,3336.0,Gerasimov E.,106.0,714.0,261,305
Koepfer D.,53.0,1096.0,Taberner C.,108.0,707.0,305,876
Moutet C.,100.0,737.0,Pouille L.,160.0,440.0,418,713
Griekspoor T.,62.0,1001.0,Fognini F.,32.0,1494.0,229,282
Mcdonald M.,55.0,1084.0,Milojevic N.,139.0,506.0,389,599
Kecmanovic M.,77.0,836.0,Caruso S.,146.0,458.0,289,139
Sonego L.,26.0,1860.0,Querrey S.,110.0,685.0,561,720
Hanfmann Y.,126.0,583.0,Kokkinakis T.,103.0,726.0,243,462
Opelka R.,29.0,1776.0,Anderson K.,97.0,744.0,450,23
Millman J.,89.0,788.0,Lopez F.,109.0,696.0,401,533
Otte O.,96.0,748.0,Tseng C.H.,190.0,348.0,452,904
Karatsev A.,15.0,2553.0,Munar J.,71.0,875.0,286,628
Paul T.,41.0,1317.0,Kukushkin M.,180.0,362.0,458,486
Zverev A.,3.0,7970.0,Altmaier D.,87.0,792.0,660,17
Schwartzman D.,13.0,2730.0,Krajinovic F.,36.0,1427.0,536,475
Van De Zandschulp B.,57.0,1069.0,Struff J.L.,52.0,1149.0,605,868
Gasquet R.,81.0,807.0,Humbert U.,40.0,1318.0,200,389
O Connell C.,175.0,383.0,Gaston H.,67.0,919.0,443,302
Gombos N.,117.0,624.0,Skatov T.,253.0,240.0,216,834
Cilic M.,27.0,1840.0,Gomez E.,153.0,450.0,97,324
Kohlschreiber P.,134.0,533.0,Cecchinato M.,95.0,759.0,306,142
Bautista Agut R.,18.0,2385.0,Travaglia S.,98.0,744.0,38,896
Berankis R.,93.0,761.0,Carballes Baena R.,75.0,837.0,48,135
