tournament,tournament_id,dated
ABN AMRO World Tennis Tournament,1,07/02/2022
ABN AMRO World Tennis Tournament,1,07/02/2022
ABN AMRO World Tennis Tournament,1,07/02/2022
ABN AMRO World Tennis Tournament,1,07/02/2022
ABN AMRO World Tennis Tournament,1,08/02/2022
ABN AMRO World Tennis Tournament,1,08/02/2022
ABN AMRO World Tennis Tournament,1,08/02/2022
ABN AMRO World Tennis Tournament,1,08/02/2022
ABN AMRO World Tennis Tournament,1,08/02/2022
ABN AMRO World Tennis Tournament,1,08/02/2022
ABN AMRO World Tennis Tournament,1,08/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,09/02/2022
ABN AMRO World Tennis Tournament,1,10/02/2022
ABN AMRO World Tennis Tournament,1,10/02/2022
ABN AMRO World Tennis Tournament,1,10/02/2022
ABN AMRO World Tennis Tournament,1,10/02/2022
ABN AMRO World Tennis Tournament,1,10/02/2022
ABN AMRO World Tennis Tournament,1,11/02/2022
ABN AMRO World Tennis Tournament,1,11/02/2022
ABN AMRO World Tennis Tournament,1,11/02/2022
ABN AMRO World Tennis Tournament,1,11/02/2022
ABN AMRO World Tennis Tournament,1,12/02/2022
ABN AMRO World Tennis Tournament,1,12/02/2022
ABN AMRO World Tennis Tournament,1,13/02/2022
ABN AMRO World Tennis Tournament,1,01/03/2021
ABN AMRO World Tennis Tournament,1,01/03/2021
ABN AMRO World Tennis Tournament,1,01/03/2021
ABN AMRO World Tennis Tournament,1,01/03/2021
ABN AMRO World Tennis Tournament,1,02/03/2021
ABN AMRO World Tennis Tournament,1,02/03/2021
ABN AMRO World Tennis Tournament,1,02/03/2021
ABN AMRO World Tennis Tournament,1,02/03/2021
ABN AMRO World Tennis Tournament,1,02/03/2021
ABN AMRO World Tennis Tournament,1,02/03/2021
ABN AMRO World Tennis Tournament,1,02/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,03/03/2021
ABN AMRO World Tennis Tournament,1,04/03/2021
ABN AMRO World Tennis Tournament,1,04/03/2021
ABN AMRO World Tennis Tournament,1,04/03/2021
ABN AMRO World Tennis Tournament,1,04/03/2021
ABN AMRO World Tennis Tournament,1,04/03/2021
ABN AMRO World Tennis Tournament,1,05/03/2021
ABN AMRO World Tennis Tournament,1,05/03/2021
ABN AMRO World Tennis Tournament,1,05/03/2021
