winner,winner_id,plone_flag,plone_year,plone_height,plone_weight,plone_hand
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Acasuso J.,1,ARG,1999.0,191.0,86.0,Right-Handed
Ahouda A.,2,MAR,2013.0,185.0,76.0,Right-Handed
Ajdukovic D.,3,CRO,2018.0,185.0,77.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
Albot R.,4,MDA,2008.0,175.0,69.0,Right-Handed
