winner,best_of,w_one,w_two,w_three,w_four,w_five,winner_id
Kwon S.W.,3,6.0,6.0,,,,335
Monteiro T.,3,6.0,3.0,7.0,,,414
Djere L.,3,7.0,7.0,,,,146
Johnson S.,3,6.0,2.0,6.0,,,277
Moutet C.,3,7.0,6.0,,,,418
Daniel T.,3,6.0,6.0,6.0,,,115
Gerasimov E.,3,6.0,6.0,,,,203
Ymer M.,3,7.0,7.0,,,,646
Cerundolo J.M.,3,6.0,6.0,,,,90
Paul T.,3,6.0,4.0,6.0,,,458
Mager G.,3,6.0,3.0,6.0,,,368
Kokkinakis T.,3,6.0,6.0,,,,308
Djere L.,3,4.0,7.0,,,,146
Cilic M.,3,6.0,7.0,,,,97
Ymer M.,3,6.0,6.0,,,,646
Kokkinakis T.,3,3.0,7.0,6.0,,,308
Paul T.,3,6.0,6.0,6.0,,,458
Gerasimov E.,3,6.0,3.0,6.0,,,203
Khachanov K.,3,6.0,4.0,6.0,,,291
Monfils G.,3,6.0,6.0,,,,411
Cilic M.,3,6.0,6.0,,,,97
Monfils G.,3,6.0,6.0,,,,411
Khachanov K.,3,7.0,6.0,,,,291
Kokkinakis T.,3,7.0,4.0,6.0,,,308
Khachanov K.,3,7.0,6.0,,,,291
Monfils G.,3,7.0,6.0,,,,411
Monfils G.,3,6.0,6.0,,,,411
Bagnis F.,3,6.0,5.0,6.0,,,26
Van De Zandschulp B.,3,6.0,6.0,,,,605
Mcdonald M.,3,6.0,6.0,,,,389
Griekspoor T.,3,6.0,6.0,,,,229
Berankis R.,3,7.0,6.0,,,,48
Thompson J.,3,1.0,7.0,6.0,,,587
Ruusuvuori E.,3,7.0,6.0,,,,517
Laaksonen H.,3,4.0,6.0,5.0,,,337
Molcan A.,3,6.0,6.0,6.0,,,408
Popyrin A.,3,7.0,6.0,,,,471
Cressy M.,3,6.0,6.0,,,,108
Munar J.,3,6.0,6.0,,,,422
Ruusuvuori E.,3,7.0,5.0,6.0,,,517
Molcan A.,3,7.0,6.0,,,,408
Dimitrov G.,3,5.0,7.0,6.0,,,145
Nadal R.,3,6.0,7.0,,,,427
Munar J.,3,6.0,7.0,,,,422
Griekspoor T.,3,6.0,4.0,6.0,,,229
Cressy M.,3,4.0,7.0,7.0,,,108
Van De Zandschulp B.,3,6.0,7.0,,,,605
Ruusuvuori E.,3,6.0,6.0,,,,517
Nadal R.,3,,,,,,427
Cressy M.,3,7.0,6.0,,,,108
Dimitrov G.,3,6.0,6.0,7.0,,,145
Cressy M.,3,7.0,7.0,,,,108
Nadal R.,3,6.0,7.0,,,,427
Nadal R.,3,7.0,6.0,,,,427
Vukic A.,3,7.0,6.0,,,,626
Paul T.,3,6.0,6.0,,,,458
Rinderknech A.,3,6.0,6.0,6.0,,,497
Munar J.,3,6.0,6.0,,,,422
Moutet C.,3,6.0,6.0,,,,418
Kwon S.W.,3,5.0,7.0,6.0,,,335
Johnson S.,3,6.0,6.0,,,,277
Bonzi B.,3,6.0,6.0,,,,63
Fucsovics M.,3,6.0,7.0,,,,191
Mager G.,3,4.0,7.0,6.0,,,368
Kokkinakis T.,3,6.0,6.0,,,,308
Monteiro T.,3,1.0,6.0,6.0,,,414
Rinderknech A.,3,5.0,6.0,6.0,,,497
Cilic M.,3,7.0,6.0,,,,97
Paul T.,3,6.0,7.0,,,,458
Khachanov K.,3,7.0,6.0,,,,291
Vukic A.,3,6.0,7.0,,,,626
Kokkinakis T.,3,6.0,7.0,7.0,,,308
Monteiro T.,3,6.0,6.0,1.0,,,414
Moutet C.,3,6.0,6.0,,,,418
Rinderknech A.,3,7.0,7.0,,,,497
Cilic M.,3,6.0,2.0,6.0,,,97
Moutet C.,3,6.0,6.0,,,,418
Kokkinakis T.,3,6.0,6.0,6.0,,,308
Rinderknech A.,3,6.0,6.0,,,,497
Kokkinakis T.,3,6.0,3.0,7.0,,,308
Kokkinakis T.,3,6.0,7.0,6.0,,,308
Goffin D.,3,6.0,6.0,,,,213
Sonego L.,3,3.0,6.0,7.0,,,561
Thompson J.,3,6.0,6.0,,,,587
Fognini F.,3,6.0,7.0,,,,187
Baez S.,3,6.0,1.0,7.0,,,24
Nakashima B.,3,7.0,7.0,,,,429
Kudla D.,3,6.0,6.0,,,,325
Kecmanovic M.,3,6.0,6.0,,,,289
Martinez P.,3,6.0,6.0,,,,381
Lajovic D.,3,7.0,6.0,,,,339
Cressy M.,3,6.0,7.0,,,,108
Murray A.,3,6.0,6.0,,,,425
Sonego L.,3,6.0,6.0,,,,561
Nakashima B.,3,7.0,7.0,,,,429
Evans D.,3,6.0,6.0,,,,176
Karatsev A.,3,7.0,6.0,,,,286
Opelka R.,3,6.0,6.0,,,,450
Goffin D.,3,6.0,6.0,,,,213
Murray A.,3,6.0,7.0,6.0,,,425
Cressy M.,3,6.0,6.0,,,,108
Karatsev A.,3,6.0,3.0,6.0,,,286
Opelka R.,3,7.0,6.0,,,,450
Murray A.,3,6.0,,,,,425
Evans D.,3,6.0,7.0,,,,176
Murray A.,3,6.0,6.0,6.0,,,425
Karatsev A.,3,6.0,6.0,6.0,,,286
Karatsev A.,3,6.0,6.0,,,,286
Shapovalov D.,5,7.0,6.0,3.0,7.0,,543
Kwon S.W.,5,3.0,6.0,3.0,6.0,6.0,335
Lajovic D.,5,6.0,4.0,6.0,6.0,6.0,339
Vukic A.,5,4.0,6.0,7.0,7.0,,626
Garin C.,5,6.0,6.0,5.0,6.0,6.0,199
Martinez P.,5,7.0,3.0,6.0,6.0,,381
Bonzi B.,5,6.0,6.0,6.0,,,63
Albot R.,5,6.0,6.0,4.0,6.0,,4
Alcaraz C.,5,6.0,6.0,6.0,,,5
Kozlov S.,5,7.0,6.0,6.0,,,316
Monfils G.,5,6.0,6.0,6.0,,,411
Berrettini M.,5,4.0,6.0,7.0,6.0,,53
Khachanov K.,5,3.0,6.0,6.0,7.0,,291
Mannarino A.,5,6.0,2.0,3.0,6.0,6.0,373
Carreno Busta P.,5,6.0,6.0,7.0,,,83
Bublik A.,5,3.0,7.0,6.0,6.0,,76
Nadal R.,5,6.0,6.0,6.0,,,427
Korda S.,5,6.0,6.0,6.0,,,311
Hurkacz H.,5,6.0,7.0,6.0,6.0,,261
Koepfer D.,5,6.0,3.0,6.0,6.0,,305
Moutet C.,5,3.0,6.0,6.0,6.0,,418
Griekspoor T.,5,6.0,6.0,6.0,,,229
Mcdonald M.,5,5.0,6.0,6.0,6.0,,389
Kecmanovic M.,5,6.0,6.0,6.0,,,289
Sonego L.,5,7.0,6.0,6.0,,,561
Hanfmann Y.,5,6.0,6.0,6.0,,,243
Opelka R.,5,6.0,6.0,7.0,,,450
Millman J.,5,6.0,6.0,4.0,7.0,,401
Otte O.,5,6.0,6.0,6.0,,,452
Karatsev A.,5,3.0,7.0,6.0,6.0,6.0,286
Paul T.,5,6.0,6.0,6.0,,,458
Zverev A.,5,7.0,6.0,7.0,,,660
Schwartzman D.,5,6.0,6.0,7.0,,,536
Van De Zandschulp B.,5,6.0,6.0,6.0,,,605
Gasquet R.,5,3.0,7.0,7.0,6.0,,200
O Connell C.,5,7.0,6.0,4.0,6.0,,443
Gombos N.,5,6.0,6.0,1.0,6.0,,216
Cilic M.,5,6.0,6.0,6.0,,,97
Kohlschreiber P.,5,6.0,7.0,7.0,,,306
Bautista Agut R.,5,7.0,6.0,5.0,6.0,,38
Berankis R.,5,6.0,3.0,2.0,6.0,6.0,48
Rublev A.,5,6.0,6.0,6.0,,,512
Dimitrov G.,5,6.0,4.0,6.0,7.0,,145
Johnson S.,5,7.0,6.0,4.0,6.0,6.0,277
Sinner J.,5,6.0,7.0,6.0,,,549
Paire B.,5,6.0,3.0,7.0,2.0,7.0,455
Cressy M.,5,7.0,7.0,6.0,6.0,6.0,108
Medvedev D.,5,6.0,6.0,7.0,,,391
Murray A.,5,6.0,3.0,6.0,6.0,6.0,425
Auger-Aliassime F.,5,6.0,0.0,3.0,6.0,6.0,21
Machac T.,5,6.0,2.0,6.0,6.0,,365
Daniel T.,5,7.0,6.0,6.0,,,115
Molcan A.,5,6.0,7.0,5.0,7.0,,408
Andujar P.,5,6.0,7.0,6.0,,,16
Evans D.,5,6.0,6.0,6.0,,,176
Fritz T.,5,7.0,6.0,6.0,,,190
Davidovich Fokina A.,5,6.0,6.0,6.0,,,118
Baez S.,5,6.0,4.0,6.0,1.0,6.0,24
Tiafoe F.,5,3.0,6.0,6.0,3.0,6.0,588
Rinderknech A.,5,7.0,4.0,6.0,3.0,6.0,497
Majchrzak K.,5,6.0,6.0,7.0,,,370
De Minaur A.,5,3.0,6.0,6.0,6.0,,125
Kyrgios N.,5,6.0,6.0,6.0,,,336
Tsitsipas S.,5,6.0,6.0,6.0,,,597
Sonego L.,5,2.0,6.0,6.0,6.0,,561
Kecmanovic M.,5,7.0,7.0,7.0,,,289
Carreno Busta P.,5,6.0,6.0,7.0,3.0,6.0,83
Opelka R.,5,6.0,6.0,7.0,,,450
Korda S.,5,3.0,6.0,6.0,7.0,7.0,311
Shapovalov D.,5,7.0,6.0,6.0,7.0,6.0,543
Nadal R.,5,6.0,6.0,6.0,,,427
Alcaraz C.,5,6.0,6.0,7.0,,,5
Berrettini M.,5,6.0,4.0,6.0,6.0,,53
Garin C.,5,6.0,7.0,2.0,6.0,6.0,199
Albot R.,5,6.0,7.0,6.0,,,4
Mannarino A.,5,6.0,6.0,6.0,,,373
Khachanov K.,5,6.0,6.0,7.0,,,291
Karatsev A.,5,3.0,6.0,6.0,6.0,,286
Zverev A.,5,6.0,6.0,6.0,,,660
